tier,partner_mix,label,n_pairs,hybrid_minus_top__test_mean_patch_health_mean_mean,hybrid_minus_top__test_mean_patch_health_mean_ci95_low,hybrid_minus_top__test_mean_patch_health_mean_ci95_high,hybrid_minus_top__test_mean_welfare_mean_mean,hybrid_minus_top__test_mean_welfare_mean_ci95_low,hybrid_minus_top__test_mean_welfare_mean_ci95_high,hybrid_minus_top__test_mean_max_local_aggression_mean_mean,hybrid_minus_top__test_mean_max_local_aggression_mean_ci95_low,hybrid_minus_top__test_mean_max_local_aggression_mean_ci95_high,hybrid_minus_top__test_mean_neighborhood_overharvest_mean_mean,hybrid_minus_top__test_mean_neighborhood_overharvest_mean_ci95_low,hybrid_minus_top__test_mean_neighborhood_overharvest_mean_ci95_high
hard_h1,adversarial_heavy,Hard / Adv,16,0.016839793003605007,0.008025722752732027,0.025318900635726286,-0.09565070118650239,-0.14370799368200324,-0.04905745266628255,-0.0021803114149305624,-0.004547085232204823,2.2935655381941977e-05,-0.06020363319280297,-0.20622831836996408,0.08812668258982718
hard_h1,balanced,Hard / Bal,16,0.08209544482641092,0.026834004462489028,0.16043999109436916,-0.14127429499607647,-0.2580266465310388,-0.02303576056022125,-0.008562825520833326,-0.01883262125651038,-0.000728400336371535,-0.040828229414864,-0.196437430799914,0.12180834636510363
medium_h1,adversarial_heavy,Medium / Adv,16,0.03389958093513808,0.014412469106969672,0.06464662162062561,-0.0006532590220114237,-0.14624804941131148,0.13294096056292484,0.004100341796874957,0.0016408454047308614,0.006635518391927004,-0.08884180547785027,-0.23114513985786253,0.05670299623825622
medium_h1,balanced,Medium / Bal,16,0.042477973325120696,0.014614309494756606,0.07236788727971132,-0.12970802052427233,-0.2896132150162312,0.006816218199461539,-0.008011203342013856,-0.017389780680338456,0.0019386596679687547,-0.06835306122907944,-0.24115356311826142,0.10064505992815334
